"Genotype";"Angle_Yr";"AUDPC_days_Yr";"AUDPC_GDD_Yr";"GDD50_Yr";"maxVar_Yr"
"G110";0.224765163725968;43.0319368965841;2072.04423920844;1668.64335227128;5.11218846956176
"G111";1.01182148246663;210.506621334683;3971.56206931991;1622.4072611867;24.6355334390705
"G112";0.393007111032987;197.051246153373;5366.22186826705;1628.79641252031;8.87920941635026
"G113";0.671445701552196;186.628818784835;6353.63074227382;1657.50371472;15.7594946591512
"G114";0.141445701552195;8.21215211816739;2729.71191347602;1663.68371472;3.09282799248453
"G115";0.448488149133297;211.67328800135;6687.26159840864;1630.87392785336;9.96886677240382
"G116";0.0321752205535641;-86.1382880264543;1554.09057212875;1748.85897303414;0.567986649826573
"G117";0.0433843835099221;-9.15209156683565;854.390898725596;1649.43516890199;-0.37421822709465
"G118";0.51390439948248;226.515897325886;10379.4795339658;1687.31682256628;11.695986408982
"G119";0.619779034885528;208.295485451502;7665.90494069359;1655.55871472;14.7594946591512
"G120";0.344779034885529;31.2121521181677;3195.45261941359;1679.93371472;8.25949465915121
"G121";0.874307388449721;326.937458409874;10740.2540544935;1632.27217716306;20.3536562402329
"G122";3.01811236821886;1221.62881878484;40703.4390329482;1336.23204805334;73.0928279924846
"G123";1.47311236821886;648.712152118168;23190.2746918449;1590.23538138667;34.7594946591512
"G124";2.0214457015522;865.378818784834;33119.3961404553;1519.89871472;48.0928279924846
"G125";1.19811236821886;379.962152118168;17231.1431400087;1642.01704805333;28.0928279924846
"G126";0.456807388449721;211.937458409874;6698.19669795744;1632.27217716306;10.3536562402329
"G127";0.214999999999868;83.7499999999988;1358.70726884231;1643.33000000046;4.99999999999984
"G128";-0.0434037351690421;-64.0901491565774;3562.61985224364;1667.87805270418;-0.853682613122938
"G129";0.253921702132911;125.409989878482;2820.79571430433;1641.04230836436;5.83600821457329
"G130";1.00477903488553;379.962152118168;14552.1249194361;1628.68538138667;23.0928279924845
"G131";-0.162824779446435;-60.7632880264544;3369.81668177748;1639.17147303414;-4.68201335017342
"G132";0.324153374270516;38.3357994653831;2281.37733285177;1656.75311301417;7.62601256270465
"G133";0.248479258166358;145.115309606293;2534.92901583717;1628.3760599142;5.73054055760428
"G134";0.0494684254607114;63.9157008940522;5176.85351417028;1639.77099365513;0.242351179645889
"G135";0.378112368218862;81.212152118168;4233.0095941326;1660.43371472;8.9261613258179
"G136";-0.23259775723456;-191.747026988601;-159.357379091817;1850.28876189774;-5.53834295062107
"G137";0.309779034885528;135.212152118168;5638.96833902539;1639.30871472;5.75949465915121
"G138";0.990588368799576;229.076656545149;4439.30733322372;1631.72897503102;22.8360082145733
"G139";0.904779034885529;268.712152118168;10829.908731264;1639.30871472;21.4261613258179
"G140";0.191812591499691;131.781976272959;2609.76658181144;1628.3760599142;4.39720722427093
"G141";0.413376486002672;119.973801577678;4929.703179188;1664.37835188208;9.8667929333577
"G142";0.188112368218862;98.7121521181682;6490.85847097393;1655.55871472;4.09282799248453
"G143";0.223112368218862;70.9621521181682;4533.83622078337;1647.43371472;5.09282799248453
"G144";0.445376486002672;114.973801577678;6739.60649851437;1696.87835188208;10.8667929333577
"G145";1.28959034280742;411.159955119717;9459.07082174976;1590.07874444931;30.4135855076492
"G146";0.413112368218862;66.7121521181678;4458.20845372274;1715.85704805333;9.75949465915122
"G147";0.626445701552195;193.295485451501;7136.32828147707;1655.55871472;14.7594946591512
"G148";-0.0943636323618521;-63.1523523088116;2541.50766077612;1702.57512107565;-2.65035222960423
"G149";1.17959034280742;385.534955119717;11743.8253337945;1689.59124444931;29.1635855076492
"G150";0.404779034885528;145.712152118168;7702.42916739166;1720.55871472;9.09282799248457
"G151";1.42644570155219;618.712152118168;22440.6698141255;1603.02204805334;33.0928279924846
"G152";0.91477903488553;401.628818784835;14209.2414980434;1631.18371472;21.4261613258179
"G153";0.798015178057711;351.607428711868;13605.7890636999;1640.12495906606;18.2632294260221
"G154";0.840071541295601;367.489789261241;7550.66369398109;1582.39342667655;20.0469118199779
"G155";0.116445701552195;40.1288187848345;4558.34654482441;1639.30871472;1.59282799248454
"G156";7.82095208070759e-05;22.4082730575344;2484.89949146813;1632.87682763092;-0.524343518922459
"G157";0.990508509832506;330.438944915575;12463.6312781737;1662.6265581117;23.8344847649225
"G158";0.1953544956533;0.587285971083973;4013.38372575699;1756.16999396281;4.85684108739415
"G159";0.348112368218861;96.4621521181681;4676.71086165157;1704.30871472;8.09282799248455
"G160";0.378112368218861;75.7954854515014;5163.7862857818;1660.43371472;8.92616132581787
"G161";0.484779034885528;179.128818784835;6911.74666337992;1663.68371472;11.4261613258179
"G162";0.343422977643679;53.5086033422841;6253.00226703324;1687.59643578488;7.60997147198986
"G163";0.503112368218861;180.962152118168;7949.36903916819;1655.55871472;11.4261613258179
"G164";0.582189863976625;225.078638552749;6847.84044581908;1632.76481629588;14.143779580826
"G165";1.85144570155219;736.628818784834;25714.8019235369;1570.42204805333;44.7594946591512
"G166";2.1514457015522;873.712152118167;32101.7803889518;1524.98204805334;51.4261613258179
"G167";2.19644570155219;878.295485451501;32601.8784494243;1512.94704805333;53.0928279924846
"G168";1.97311236821886;827.045485451501;30522.1987158012;1517.87538138667;46.4261613258179
"G169";0.530588368799576;201.243323211815;6804.44474599198;1641.04230836436;12.50267488124
"G170";1.29311236821886;553.712152118168;17032.4229357383;1593.22204805334;29.7594946591512
"G171";1.17811236821886;442.045485451502;17315.3547758981;1623.05871472;28.0928279924846
"G172";0.561807388449721;244.437458409875;8172.46511672651;1632.27217716306;12.8536562402329
"G173";0.422415588896443;247.772612373117;6701.3850421825;1633.59484712317;9.88213011360609
"G174";0.826765163725968;387.031936896584;13985.6438087786;1639.39335227128;19.1121884695617
"G175";0.628112368218861;252.462152118168;9367.98196122328;1639.30871472;14.7594946591512
"G176";0.430508509832507;198.313944915575;8219.03338670494;1662.62655811169;10.0844847649225
"G177";0.701812591499691;199.781976272959;2061.19374200599;1700.22272658087;17.0638738909376
"G178";1.17276516372597;449.031936896584;14105.4237081916;1614.47735227128;28.1121884695617
"G179";0.548415588896442;168.972612373117;4035.17823309994;1672.59484712317;12.882130113606
"G180";0.512168552328359;200.193228177253;7432.96315842007;1686.04807207977;12.1392419887269
"G181";0.853112368218862;405.378818784835;16493.4211193309;1639.30871472;19.7594946591512
"G182";0.658641952382603;303.850609740991;11843.2381066887;1579.70010095217;14.1300735275391
"G183";0.471250385303274;114.164238381395;5805.39067173302;1671.17275841739;11.2183427314537
"G184";1.1364457015522;526.212152118168;17460.1266338501;1598.77704805333;26.4261613258179
"G185";1.58144570155219;656.212152118168;24364.5437924042;1606.48538138667;36.4261613258179
"G186";1.80811236821886;717.878818784835;25255.572837618;1574.49538138667;43.0928279924846
"G187";0.393381820582836;155.208588614712;7105.06351328022;1698.37707264557;9.20978866223744
"G188";1.72977903488553;728.712152118168;26013.5256313166;1541.16204805334;41.4261613258179
"G189";0.959779034885529;439.128818784835;17298.8537541768;1595.65204805333;22.2594946591512
"G190";1.33144570155219;559.545485451502;20536.6292133505;1590.65204805333;31.4261613258179
"G191";0.466528305691626;236.854661702732;6768.29281065614;1689.54249902745;11.3865111594897
"G192";0.742415588896443;324.972612373117;13246.8894745988;1653.09484712317;16.882130113606
"G193";0.351807388449721;179.437458409874;5665.28439049227;1632.27217716306;7.85365624023291
"G194";0.265381820582836;48.7085886147119;4130.08567010347;1717.87707264557;6.20978866223743
"G195";2.07311236821886;895.378818784835;33355.6392975366;1471.58038138667;49.7594946591512
"G196";-0.340819314385024;-110.180089760565;1658.08194627811;1652.17248889816;-8.67282898470138
"G197";0.483112368218862;239.128818784834;9639.83713153234;1655.55871472;10.5928279924845
"G198";0.311445701552195;106.295485451501;4808.33395319349;1671.80871472;7.25949465915124
"G199";-0.026249614696724;-38.3357616186046;3892.55241403439;1695.54775841739;-1.03165726854632
"G200";0.421250385303274;102.289238381395;7098.85789039267;1707.73525841739;9.9683427314537
"G201";0.131284163843642;-12.5554601106352;2577.908057258;1736.76678839099;2.7586403307359
"G202";0.151765106398994;148.729969635448;2492.60151463542;1636.46692509215;3.50802464372019
"G203";2.0764457015522;854.545485451501;31776.1885290632;1541.16204805334;49.7594946591512
"G204";0.698112368218862;270.378818784834;9146.00603886975;1631.18371472;16.4261613258179
"G205";1.46644570155219;682.045485451501;24152.2239595293;1535.49871472;34.7594946591512
"G206";1.42311236821886;676.212152118168;23392.4013794879;1541.16204805334;33.0928279924845
"G207";1.36811236821886;598.712152118168;19833.2531687163;1557.82871472;32.2594946591512
"G208";3.11311236821886;1262.87881878483;43441.8976953101;1309.27038138667;76.4261613258179
"G209";2.4564457015522;998.712152118168;33044.8781757412;1489.68371472;59.7594946591512
"G210";1.36311236821886;574.545485451501;19323.0438670707;1631.18371472;31.4261613258179
"G211";2.72311236821886;1047.46215211817;33446.540836669;1451.69371472;66.4261613258179
"G212";0.393381820582836;92.7085886147121;5472.24009044676;1659.37707264557;9.40978866223745
"G213";0.808112368218862;380.378818784835;14314.1686763264;1639.30871472;18.0928279924846
"G214";0.639779034885528;178.295485451501;8699.78370821802;1655.55871472;14.7594946591512
"G215";0.663112368218863;289.295485451501;8955.30600837365;1606.90204805333;15.7594946591512
"G216";0.741445701552196;262.462152118168;12089.1344410747;1647.43371472;17.2594946591512
"G217";2.7914457015522;1160.37881878484;41875.1539167545;1364.94038138667;68.0928279924846
"G218";1.44311236821886;607.878818784835;24775.2648199203;1568.98538138667;33.9261613258179
"G219";0.702765163725967;304.531936896584;11511.7657753162;1639.39335227128;16.1121884695617
"G220";0.778112368218862;332.878818784835;15335.8437893442;1696.18371472;17.2594946591512
"G221";0.714415588896444;284.172612373117;10082.577037375;1653.09484712317;16.8821301136061
